,,,,,,,,,,,, 
Rol de Procedimentos e Eventos em Saúde,,,,,,,,,,,, 
"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,, 
,,,,,,,,,,,, 
PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO 
PANCREATORRAFIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PSEUDOCISTO PÂNCREAS - DRENAGEM,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PSEUDOCISTO PÂNCREAS - DRENAGEM POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ESPLÊNICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESPLENECTOMIA TOTAL OU PARCIAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESPLENORRAFIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIÁLISE PERITONEAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIÁLISE PERITONEAL AMBULATORIAL CONTÍNUA (CAPD),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIÁLISE PERITONEAL AMBULATORIAL CONTÍNUA (CAPD) - TREINAMENTO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIPLOPLASTIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE OU RETIRADA DE CATETER PERITONEAL (TENCKHOFF OU OUTROS),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OMENTECTOMIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OMENTECTOMIA LAPAROSCÓPICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,PERITÔNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE PAREDE ABDOMINAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTO SACRO-COCCÍGEO - TRATAMENTO CIRÚRGICO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIÁSTASE DOS RETOS-ABDOMINAIS - TRATAMENTO CIRÚRGICO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HÉRNIA - TRATAMENTO CIRÚRGICO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA COM OU SEM RESSECÇÃO INTESTINAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA COM OU SEM RESSECÇÃO INTESTINAL POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA CRURAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA CRURAL POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA EPIGÁSTRICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA INCISIONAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL NO RN OU LACTENTE,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA LOMBAR,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA RECIDIVANTE,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA RECIDIVANTE POR VIDEOLAPAROSCOPIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HERNIORRAFIA UMBILICAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"LAPAROTOMIA EXPLORADORA PARA BIÓPSIA, DRENAGEM DE ABSCESSO OU LIBERAÇÃO DE BRIDAS EM VIGÊNCIA DE OCLUSÃO",https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROBLASTOMA ABDOMINAL - EXÉRESE,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ONFALOCELE/GASTROSQUISE - TRATAMENTO CIRÚRGICO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARACENTESE ABDOMINAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARACENTESE ABDOMINAL LAPAROSCÓPICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DA PAREDE ABDOMINAL COM RETALHO MUSCULAR OU MIOCUTÂNEO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REPARAÇÃO DE OUTRAS HÉRNIAS (INCLUI HERNIORRAFIA MUSCULAR),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE CISTO OU FÍSTULA DE ÚRACO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE CISTO OU FÍSTULA OU RESTOS DO DUCTO ONFALOMESENTÉRICO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSUTURA DA PAREDE ABDOMINAL (POR DEISCÊNCIA TOTAL OU EVISCERAÇÃO),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TERATOMA SACRO-COCCÍGEO - EXÉRESE,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"VIDEOLAPAROSCOPIA PARA DIAGNÓSTICO COM OU SEM BIÓPSIAS E PARA OS PROCEDIMENTOS DE DRENAGEM DE COLEÇÕES, LIBERAÇÃO DE BRIDAS/ADERÊNCIAS E/OU RAFIAS",https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO RENAL OU PERI-RENAL - DRENAGEM PERCUTÂNEA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO RENAL OU PERI-RENAL DRENAGEM CIRÚRGICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ADRENALECTOMIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ADRENALECTOMIA LAPAROSCÓPICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANGIOPLASTIA RENAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANGIOPLASTIA RENAL TRANSLUMINAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AUTOTRANSPLANTE RENAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
